,timestamp_utc,generation_mw,installed_capacity_mwp,capacity_mwp
0,2024-09-30T22:00:00Z,0.0,2956.7452510000003,2779.9957229
1,2024-09-30T22:30:00Z,0.0,2956.7452510000003,2779.9957229
2,2024-09-30T23:00:00Z,0.0,2956.7452510000003,2779.9957229
3,2024-09-30T23:30:00Z,0.0,2956.7452510000003,2779.9309731
4,2024-10-01T00:00:00Z,0.0,2956.7452510000003,2779.9309601
5,2024-10-01T00:30:00Z,0.0,2956.7452510000003,2779.9309481
6,2024-10-01T01:00:00Z,0.0,2956.7452510000003,2779.9309270999997
7,2024-10-01T01:30:00Z,0.0,2956.7452510000003,2779.9309251
8,2024-10-01T02:00:00Z,0.0,2956.7452510000003,2779.9309041
9,2024-10-01T02:30:00Z,0.0,2956.7452510000003,2779.9309041
10,2024-10-01T03:00:00Z,0.0,2956.7452510000003,2779.930892
11,2024-10-01T03:30:00Z,0.0,2956.7452510000003,2779.93088
12,2024-10-01T04:00:00Z,0.0,2956.7452510000003,2779.930868
13,2024-10-01T04:30:00Z,0.0,2956.7452510000003,2779.930867
14,2024-10-01T05:00:00Z,0.0,2956.7452510000003,2779.930843
15,2024-10-01T05:30:00Z,0.0,2956.7452510000003,2779.930833
16,2024-10-01T06:00:00Z,0.0985028262,2956.7452510000003,2779.930813
17,2024-10-01T06:30:00Z,14.7468402,2956.7452510000003,2779.930812
18,2024-10-01T07:00:00Z,57.0592426,2956.7452510000003,2779.930809
19,2024-10-01T07:30:00Z,90.6289123,2956.7452510000003,2779.9307969
20,2024-10-01T08:00:00Z,121.395026,2956.7452510000003,2779.9307849
21,2024-10-01T08:30:00Z,145.779239,2956.7452510000003,2779.9307419
22,2024-10-01T09:00:00Z,186.744389,2956.7452510000003,2779.9307309
23,2024-10-01T09:30:00Z,215.18367999999998,2956.7452510000003,2779.9307289
24,2024-10-01T10:00:00Z,222.331503,2956.7452510000003,2779.9307189
25,2024-10-01T10:30:00Z,215.014959,2956.7452510000003,2779.9307159
26,2024-10-01T11:00:00Z,196.887171,2956.7452510000003,2779.9307039
27,2024-10-01T11:30:00Z,230.437176,2956.7452510000003,2779.9307019
28,2024-10-01T12:00:00Z,255.82,2956.7452510000003,2779.9307019
