,timestamp_utc,settlement_date,settlement_period,boundary,publish_time_utc,transmission_system_demand,national_demand
0,2024-10-04T09:30:00Z,2024-10-04,22,N,2024-10-04T09:16:00Z,29055.0,27864.0
1,2024-10-04T10:00:00Z,2024-10-04,23,N,2024-10-04T09:16:00Z,28065.0,27068.0
2,2024-10-04T10:30:00Z,2024-10-04,24,N,2024-10-04T09:16:00Z,27256.0,26137.0
3,2024-10-04T11:00:00Z,2024-10-04,25,N,2024-10-04T09:16:00Z,26688.0,25558.0
4,2024-10-04T11:30:00Z,2024-10-04,26,N,2024-10-04T09:16:00Z,26730.0,25600.0
5,2024-10-04T12:00:00Z,2024-10-04,27,N,2024-10-04T09:16:00Z,26935.0,25805.0
6,2024-10-04T12:30:00Z,2024-10-04,28,N,2024-10-04T09:16:00Z,26556.0,25426.0
7,2024-10-04T13:00:00Z,2024-10-04,29,N,2024-10-04T09:16:00Z,26530.0,25400.0
8,2024-10-04T13:30:00Z,2024-10-04,30,N,2024-10-04T09:16:00Z,26590.0,25460.0
9,2024-10-04T14:00:00Z,2024-10-04,31,N,2024-10-04T09:16:00Z,26934.0,25804.0
10,2024-10-04T14:30:00Z,2024-10-04,32,N,2024-10-04T09:16:00Z,27324.0,26256.0
11,2024-10-04T15:00:00Z,2024-10-04,33,N,2024-10-04T09:16:00Z,29049.0,26863.0
12,2024-10-04T15:30:00Z,2024-10-04,34,N,2024-10-04T09:16:00Z,30252.0,27897.0
13,2024-10-04T16:00:00Z,2024-10-04,35,N,2024-10-04T09:16:00Z,33155.0,29792.0
14,2024-10-04T16:30:00Z,2024-10-04,36,N,2024-10-04T09:16:00Z,34202.0,30857.0
15,2024-10-04T17:00:00Z,2024-10-04,37,N,2024-10-04T09:16:00Z,35198.0,31895.0
16,2024-10-04T17:30:00Z,2024-10-04,38,N,2024-10-04T09:16:00Z,35763.0,32536.0
17,2024-10-04T18:00:00Z,2024-10-04,39,N,2024-10-04T09:16:00Z,35134.0,33000.0
18,2024-10-04T18:30:00Z,2024-10-04,40,N,2024-10-04T09:16:00Z,35034.0,32873.0
19,2024-10-04T19:00:00Z,2024-10-04,41,N,2024-10-04T09:16:00Z,33883.0,31833.0
20,2024-10-04T19:30:00Z,2024-10-04,42,N,2024-10-04T09:16:00Z,32478.0,30563.0
21,2024-10-04T20:00:00Z,2024-10-04,43,N,2024-10-04T09:16:00Z,30930.0,29519.0
22,2024-10-04T20:30:00Z,2024-10-04,44,N,2024-10-04T09:16:00Z,29149.0,27998.0
23,2024-10-04T21:00:00Z,2024-10-04,45,N,2024-10-04T09:16:00Z,27431.0,26262.0
24,2024-10-04T21:30:00Z,2024-10-04,46,N,2024-10-04T09:16:00Z,26084.0,25056.0
25,2024-10-04T22:00:00Z,2024-10-04,47,N,2024-10-04T09:16:00Z,24134.0,23339.0
26,2024-10-04T22:30:00Z,2024-10-04,48,N,2024-10-04T09:16:00Z,23035.0,22240.0
27,2024-10-04T23:00:00Z,2024-10-05,1,N,2024-10-04T09:16:00Z,21905.0,21110.0
28,2024-10-04T23:30:00Z,2024-10-05,2,N,2024-10-04T09:16:00Z,21180.0,20385.0
29,2024-10-05T00:00:00Z,2024-10-05,3,N,2024-10-04T09:16:00Z,20795.0,20000.0
30,2024-10-05T00:30:00Z,2024-10-05,4,N,2024-10-04T09:16:00Z,21015.0,20220.0
31,2024-10-05T01:00:00Z,2024-10-05,5,N,2024-10-04T09:16:00Z,20560.0,19765.0
32,2024-10-05T01:30:00Z,2024-10-05,6,N,2024-10-04T09:16:00Z,20052.0,19257.0
33,2024-10-05T02:00:00Z,2024-10-05,7,N,2024-10-04T09:16:00Z,19516.0,18721.0
34,2024-10-05T02:30:00Z,2024-10-05,8,N,2024-10-04T09:16:00Z,19342.0,18547.0
35,2024-10-05T03:00:00Z,2024-10-05,9,N,2024-10-04T09:16:00Z,19318.0,18523.0
36,2024-10-05T03:30:00Z,2024-10-05,10,N,2024-10-04T09:16:00Z,19115.0,18320.0
